chunk_id,layer,book,kind,marker,concept,present_in_v14,v14_locations,verdict,target_section,strength,note,critic_flag,critic_note
golden-BOOK-V-MATHEMATICS-0436,golden,BOOK-V-MATHEMATICS,THE,[THE 24.2.1] (Существование (V) как CORE-объекта при открытом голономном канале).,"THE 24.2.1: V is a CORE-object when D>=6 holonomy channel open; Hol(gamma) retains cycles, heat-trace canonical (M1)",no,,integrate,BOOK_02.complexity,core-forcing,The D>=6 vs D<=5 topological fork and the M1 forcing that V is canonical when the holonomy channel is open are absent from v14.,,
golden-BOOK-V-MATHEMATICS-0437,golden,BOOK-V-MATHEMATICS,THE,[THE 24.2.2] (Вычислимость (V) в D0-протоколе без бесконечной точности).,"THE 24.2.2: V computable without infinite precision - eps^2 bounds relaxation steps in u, giving poly(n) delta0-ticks",no,,integrate,BOOK_02.complexity,core-forcing,"The argument that the eps^2 tolerance caps relaxation iterations (so no exponential branching, poly(n) cost) is absent; this is the load-bearing 'why poly' step of the §24 result.",,
golden-BOOK-V-MATHEMATICS-0438,golden,BOOK-V-MATHEMATICS,COR,[COR 24.2.3] (Пакет численной верификации (V) устраняет экспоненциальную ветвимость).,"COR 24.2.3: computable global V removes exponential branching - search becomes navigation, else needs branch catalog",no,,integrate,BOOK_02.complexity,supporting,Corollary tying V-existence to elimination of exponential search is absent from v14.,,
golden-BOOK-V-MATHEMATICS-0439,golden,BOOK-V-MATHEMATICS,THE,[THE 24.3.1] (Полиномиальная релаксация на графах с функцией Ляпунова).,"THE 24.3.1: poly relaxation via Lyapunov V_k - heat-trace, monotone descent, spectral gap Delta_k>0, poly per level",no,,integrate,BOOK_02.complexity,core-forcing,Main §24 theorem (Lyapunov/heat-trace functional with spectral-gap-driven monotone descent giving poly-time per level of the inverse system) is absent from v14.,,
golden-BOOK-V-MATHEMATICS-0440,golden,BOOK-V-MATHEMATICS,COR,[COR 24.3.2] (Коллапс классов в конструктивной фазе).,COR 24.3.2: collapse NP_{D0} subset P_{D0} when Delta_k>=Delta>0 on all levels; explicitly NOT the ZFC P=?NP question,no,,integrate,BOOK_02.complexity,core-forcing,The NP_{D0} subset P_{D0} collapse and the explicit disclaimer separating it from the Clay/ZFC P=?NP problem are absent; the disclaimer is essential to keep the claim honest.,,
golden-BOOK-V-MATHEMATICS-0441,golden,BOOK-V-MATHEMATICS,LEM,[LEM 24.3.2] (Топологический коллапс worst-case).,"LEM 24.3.2: worst-case collapse - exp-search instances = no-V states, topologically D<=5 tree; D>=6 holonomy forces V",no,,integrate,BOOK_02.complexity,core-forcing,The identification of worst-case hardness with the no-holonomy D<=5 tree phase and its M1-forced collapse (adversarial hardness only via forbidden exogenous params) is absent from v14.,,
golden-BOOK-V-MATHEMATICS-0442,golden,BOOK-V-MATHEMATICS,REM,"[REM 24.3.A] (Почему это именно “строгость D0”, а не классическая подмена).",REM 24.3.A: D0 rigor not classical bait-and-switch - M1+ stop-rule + finite eps^2 kill the infinite-choice tail,partial,BOOK_01 §01.4.1 (admissible finite-stage section),integrate,BOOK_02.complexity,supporting,"v14 has the finite-stage-section admissibility principle, but the specific contrast (classical infinite-precision tail vs D0 M1+ stop-rule + eps^2) that justifies the complexity result is not stated.",,
golden-BOOK-V-MATHEMATICS-0443,golden,BOOK-V-MATHEMATICS,THE,[THE 24.4.1] (NP-поведение без голономного канала).,THE 24.4.1/PAULI/SPIN/DECAY: Pauli (a_i^dag)^2=0 from CAR; spin-1/2 sign -1 from pi_1=Z2; decay Gamma ~ R^5 (D_Sigma=5),no,,integrate,BOOK_04.PAULI,core-forcing,"Multiple forced results absent from v14: Pauli exclusion as the structural identity (a_i^dag)^2=0 from CAR antisymmetry (no separate postulate); spin-1/2 exchange sign from pi_1=Z2 of two-excitation config space; leading decay exponent Gamma propto R^5 from D_Sigma=5 phase volume. v14 'spin' content is all S3/spin-2 carriers, none of this fermionic CAR derivation.",,
golden-BOOK-V-MATHEMATICS-0444,golden,BOOK-V-MATHEMATICS,REM,[REM 24.5.PROTO] (Протокол Π и reproducibility bundle).,"REM 24.5.PROTO: each VER 24.5 runs under fixed protocol Pi (Supplementary), no hidden handles",,,skip,,peripheral,non-conceptual (protocol/reproducibility-bundle boilerplate).,,
golden-BOOK-V-MATHEMATICS-0445,golden,BOOK-V-MATHEMATICS,VER,[VER 24.5.1] (Экспонента vs полином на эталонном классе: QEC).,VER 24.5.1: QEC EXP-vs-poly demonstrator - brute force 16^G vs phi-package eps^2 finite-order poly/O(1) proxy,no,,integrate,BOOK_05.complexity-ver,supporting,Executable numerical verification (QEC exponential-vs-poly demonstrator) for the §24 complexity claim is absent from v14; it is the empirical passport for the navigation-potential result.,,
golden-BOOK-V-MATHEMATICS-0446,golden,BOOK-V-MATHEMATICS,REM,"[REM 24.5.1.BRIDGE] Параметры (p,C) относятся к BRIDGE-каналу (вероятностная интерпретация)","REM 24.5.1.BRIDGE: bridge params (p,C) are probabilistic channel only, do not affect PASS/FAIL of exact POLY-DP/golden",,,skip,,peripheral,non-conceptual (bridge-parameter bookkeeping note).,,
golden-BOOK-V-MATHEMATICS-0447,golden,BOOK-V-MATHEMATICS,VER,[VER 24.5.2] (Навигация COP ≡ DP на φ-графе).,VER 24.5.2: numerical verification that navigation COP == dynamic programming DP on the phi-graph,no,,integrate,BOOK_05.complexity-ver,supporting,The COP==DP-on-phi-graph navigation equivalence verifier is absent from v14.,,
golden-BOOK-V-MATHEMATICS-0448,golden,BOOK-V-MATHEMATICS,VER,"[VER 24.5.3] (NP_{D0}-семейства: SAT, TSP).","VER 24.5.3: NP_{D0} demonstrators (SAT, TSP) reducing NP-search to phi-structure navigation under protocol Pi",no,,integrate,BOOK_05.complexity-ver,supporting,SAT/TSP navigation-reduction demonstrators for the §24 claim are absent from v14.,,
golden-BOOK-V-MATHEMATICS-0449,golden,BOOK-V-MATHEMATICS,CHK,[CHK 24.5.K] (Запрет подмен).,"CHK 24.5.K: forbidden 24-substitutions - no new dimensionless param, no choice/precision hypercomputation, no inf limit",partial,BOOK_05 (certificate discipline / forbidden-promotion guards),integrate,BOOK_05.complexity-ver,supporting,"v14 has general forbidden-promotion guard discipline, but the §24-specific anti-cheat checklist (no new dimensionless param / no hypercomputation / no infinite classical limit) is not present as a guard for the complexity result.",,
golden-BOOK-V-MATHEMATICS-0450,golden,BOOK-V-MATHEMATICS,SECTION,D0 §25 — Сферичность предельного объекта для односвязных обратных систем 3-триангуляций (D0-версия),"D0 §25 header + dependency registry (M1/M1+, Can/D_min, inverse system V, U^flat, kappa-equivalence)",,,skip,,peripheral,non-conceptual (section header / dependency-registry navigation).,,
golden-BOOK-V-MATHEMATICS-0451,golden,BOOK-V-MATHEMATICS,DEF,[DEF 25.0.1] (D0-3-многообразие).,"DEF 25.0.1: D0-3-manifold M = kappa-stable inverse system of finite 3-triangulations {(T_k, pi_{k->k-1})}",partial,BOOK_01 §01.4 (inverse system of finite address words / profinite support),integrate,BOOK_07.poincare,supporting,"v14 has the general inverse-system/profinite-support framework, but its specialization to a kappa-stable inverse system of finite 3-triangulations (the D0-3-manifold object underlying the Poincare theorem) is absent.",,
golden-BOOK-V-MATHEMATICS-0452,golden,BOOK-V-MATHEMATICS,DEF,[DEF 25.0.2] (D0-простая связность).,"DEF 25.0.2: D0-simple-connectivity via finite-resource cycle-contraction certs Cert(gamma), kappa-stable along pi_k",no,,integrate,BOOK_07.poincare,supporting,"The constructive D0 reformulation of simple-connectivity (finite-resource cycle-contraction certificates, kappa-stable along the tower) is absent from v14.",,
golden-BOOK-V-MATHEMATICS-0453,golden,BOOK-V-MATHEMATICS,REM,[REM 25.0.A] (Критерий физической реализуемости M1).,REM 25.0.A: M1 realizability - no classical smoothness/infinite limits; only refinement tower + kappa-convergence,partial,BOOK_01 §01.4.1 (continuum admitted only after finite-stage descent),integrate,BOOK_07.poincare,supporting,"v14 states the general 'continuum only via finite-stage descent' rule, but the §25 specialization (smoothness/infinite-limit replaced by refinement-tower + kappa-convergence for 3-manifolds) is not present.",,
golden-BOOK-V-MATHEMATICS-0454,golden,BOOK-V-MATHEMATICS,THE,[THE 25.1.1] (D0-сферичность проективного предела при конструктивной регулярности).,THE 25.1.1 D0-Poincare: kappa-stable simply-connected inverse system of finite 3-triangulations has lim ~ S^3 (pro),no,,integrate,BOOK_07.poincare,core-forcing,"The D0 Poincare sphericity theorem and its forcing proof (any kappa-stable defect must be either an irremovable loop contradicting simple-connectivity, or a thin sub-scale defect needing an external catalog forbidden by M1) are entirely absent from v14.",,
golden-BOOK-V-MATHEMATICS-0455,golden,BOOK-V-MATHEMATICS,BRIDGE,[BRIDGE 25.B],BRIDGE 25.B: classical Poincare conjecture = packaging of inverse-system limit; smoothness replaced by kappa-stability,no,,integrate,BOOK_07.poincare,supporting,The bridge reinterpreting the classical Poincare conjecture as a kappa-stability distinguishability test is absent from v14.,,
golden-BOOK-V-MATHEMATICS-0456,golden,BOOK-V-MATHEMATICS,SECTION,D0 §26 — Спектральная щель в решёточной калибровочной динамике при фиксированном UV-обрезании (D0-версия),"D0 26 header + dependency registry (M1/M1+, S_N gauge, holonomy q(gamma), W_ext=phi^-1/W_int=phi^-2, kappa-stability)",,,skip,,peripheral,non-conceptual (section header / dependency-registry navigation).,,
golden-BOOK-V-MATHEMATICS-0457,golden,BOOK-V-MATHEMATICS,DEF,[DEF 26.0.1] (Gauge-симметрия).,DEF 26.0.1: gauge = local S_N indistinguishability of outgoing-edge permutations under distinguishability tests,partial,BOOK_03 §03.5 (internal action gauge S_gauge^{D0}); BOOK_04 §04.CVFT (gauge-boundary),integrate,BOOK_07.massgap,supporting,"v14 has gauge as an action/boundary object, but the foundational D0 definition of gauge as local S_N indistinguishability of outgoing-edge permutations under distinguishability tests is not present in this form.",,
golden-BOOK-V-MATHEMATICS-0458,golden,BOOK-V-MATHEMATICS,DEF,[DEF 26.0.2] (Калибровочное поле как holonomy-разметка).,DEF 26.0.2: gauge field = holonomy-marking rule q(gamma); q(ell)!=1 on closed loops is observable excitation memory,partial,"BOOK_06 §06.x (pi_0/color holonomy, q(gamma)); BOOK_04 §04.U (holonomies over hull)",integrate,BOOK_07.massgap,supporting,"v14 uses holonomy q(gamma) for CKM/color, but the definition of the gauge field itself as the holonomy memory-marking rule with q(ell)!=1 as the observable loop excitation is not stated as a gauge-field definition.",,
golden-BOOK-V-MATHEMATICS-0459,golden,BOOK-V-MATHEMATICS,DEF,[DEF 26.0.3] (Энергия/масса как стоимость цикла).,DEF 26.0.3: energy/mass as cycle cost Delta S = S(gamma)-S(gamma_vac); mass = kappa-density of closures; W_ext/W_int,partial,BOOK_03 §03.5 (action weights); BOOK_04 §04.12 (support gap -> mass guard),integrate,BOOK_07.massgap,supporting,"v14 has action weights and a support-gap->mass relation, but the specific D0 definition of excitation energy as history-encoding cost Delta S relative to vacuum and mass = kappa-density of loop closures is not present.",,
golden-BOOK-V-MATHEMATICS-0460,golden,BOOK-V-MATHEMATICS,THE,[THE 26.1.1] (Нижняя граница энергии возбуждения при фиксированном минимальном цикле).,THE 26.1.1 YM gap: E_1-E_0 >= c*Delta S_min>0 from minimal-plaquette cost (W_ext/W_int); UV cutoff bars Delta S_min->0,partial,"BOOK_04 §04.CVFT.Gauge-boundary (m_gap^2 lower bound via F_N obstruction); BOOK_05 §29 (GAUGE-BOUNDARY-LAW, F_N lower bound)",integrate,BOOK_07.massgap,core-forcing,"M1 failure mode: v14 keeps the FACT of a finite gauge mass-gap (m_gap^2 lower bound) but derives it from the F_N feedback-return / commutator-obstruction machinery. It DROPS the §26 forcing argument - minimal-plaquette cost Delta S_min>0 fixed by corpus weights W_ext=phi^-1/W_int=phi^-2, plus the M1/kappa-stability argument that Delta S_min->0 or minimal-cycle runaway would require exogenous branch/precision indices (forbidden), giving E_1-E_0 >= c*Delta S_min. That derivation chain is not in v14.",,
golden-BOOK-V-MATHEMATICS-0461,golden,BOOK-V-MATHEMATICS,BRIDGE,[BRIDGE 26.B],BRIDGE 26.B: Yang-Mills mass gap = minimal cost of a stable memory cycle with no external tuning,no,,integrate,BOOK_02.19,supporting,"v14 has K0/spectral gap labeling on the tiling hull but NOT the Yang-Mills mass-gap reformulation (excitation = stable memory cycle, gap forced by minimal cycle cost). Forcing argument absent.",,
golden-BOOK-V-MATHEMATICS-0462,golden,BOOK-V-MATHEMATICS,SECTION,D0 §27 — Глобальная регулярность гидродинамического предела на конечных решётках при ограниченном ресурсе (D0-версия),D0 §27 header: Navier-Stokes global regularity on finite lattices under bounded resource; dependency list,,,skip,,peripheral,non-conceptual (nav/registry): section header + fixed-dependency list,,
golden-BOOK-V-MATHEMATICS-0463,golden,BOOK-V-MATHEMATICS,DEF,[DEF 27.0.1] (Состояние жидкости).,DEF 27.0.1: fluid state = finite flux/velocity distribution sigma_k on a finite graph; field as finite constructive type,no,,integrate,BOOK_02.27,supporting,Navier-Stokes/fluid-state reformulation entirely absent from v14; no field-as-finite-constructive-type definition in the fluid context.,,
golden-BOOK-V-MATHEMATICS-0464,golden,BOOK-V-MATHEMATICS,DEF,[DEF 27.0.2] (Невязка/вихрь и энергия).,DEF 27.0.2: discrete vorticity/gradients on 2-cells and energy as quadratic form via Laplacian/incidence,no,,integrate,BOOK_02.27,supporting,Finite Hodge/incidence Laplacian exists in v14 (matter sector) but its use to define discrete vorticity/energy for fluid dynamics is absent.,,
golden-BOOK-V-MATHEMATICS-0465,golden,BOOK-V-MATHEMATICS,DEF,[DEF 27.0.3] (Динамика как каноническая релаксация + перенос).,"DEF 27.0.3: D0-dynamics = local, parameter-free, kappa-stable canonical relaxation via heat-trace semigroup e^{-uL}",no,,integrate,BOOK_02.27,supporting,Heat-trace semigroup exists in v14 (time/evolution books) but the requirement of dynamics being local+parameter-free+kappa-stable as a fluid relaxation channel is not stated.,,
golden-BOOK-V-MATHEMATICS-0466,golden,BOOK-V-MATHEMATICS,THE,[THE 27.1.1] (Отсутствие blow-up в конструктивной гидродинамике D0).,THE 27.1.1: no blow-up / global regularity of D0 Navier-Stokes; proof by M1 forbidding infinite-precision refinement,no,,integrate,BOOK_02.27,core-forcing,"Entire theorem + its M1 forcing argument (blow-up requires breaking kappa-stability = injecting an infinite refinement catalog, forbidden by M1) is absent from v14. Core forcing dropped.",,
golden-BOOK-V-MATHEMATICS-0467,golden,BOOK-V-MATHEMATICS,BRIDGE,[BRIDGE 27.B],BRIDGE 27.B: classical R^3 PDE existence/smoothness = kappa-stability of the inverse system of solutions,no,,integrate,BOOK_02.27,supporting,Bridge equating classical NS existence/smoothness to kappa-stability of the inverse system is absent from v14.,,
golden-BOOK-V-MATHEMATICS-0468,golden,BOOK-V-MATHEMATICS,SECTION,D0 §28 — Hodge (алгебраические циклы как κ-стабильные классы),D0 §28 header: Hodge conjecture (algebraic cycles as kappa-stable classes); dependency list,,,skip,,peripheral,non-conceptual (nav/registry): section header + fixed-dependency list,,
golden-BOOK-V-MATHEMATICS-0469,golden,BOOK-V-MATHEMATICS,DEF,[DEF 28.0.1] (Когомология как класс памяти).,DEF 28.0.1: cohomology class = memory class; observable part fixed by holonomy invariants q(gamma) on cycles,no,,integrate,BOOK_02.28,supporting,"v14 has holonomy q(gamma) and finite cochain complexes, but NOT the cohomology-as-kappa-stable-memory-class reading for the Hodge program. Reformulation absent.",,
golden-BOOK-V-MATHEMATICS-0470,golden,BOOK-V-MATHEMATICS,DEF,[DEF 28.0.2] (Алгебраический цикл в D0).,DEF 28.0.2: algebraic cycle in D0 = kappa-stable constructive type Z selecting finite subcomplexes with rational coeffs,no,,integrate,BOOK_02.28,supporting,"Definition of algebraic cycle as a kappa-stable constructive type is absent from v14 (Hodge here = Hodge Laplacian only, not the conjecture).",,
golden-BOOK-V-MATHEMATICS-0471,golden,BOOK-V-MATHEMATICS,DEF,[DEF 28.0.3] (D0-Hodge-класс).,"DEF 28.0.3: D0-Hodge-class = kappa-stable rational co-class whose bridge packaging lands in the (p,p) component",no,,integrate,BOOK_02.28,supporting,"The (p,p)-component / self-conjugation characterization of a Hodge class is absent from v14; v14 'Hodge' is exclusively the finite Hodge Laplacian of the matter sector.",,
golden-BOOK-V-MATHEMATICS-0472,golden,BOOK-V-MATHEMATICS,THE,[THE 28.1.1] (Решение Hodge в D0-форме).,THE 28.1.1: kappa-stable rational Hodge class is realized by algebraic cycles; proof by M1 forbidding a non-algebraic index,no,,integrate,BOOK_02.28,core-forcing,"Theorem + its M1 forcing argument (a non-algebraic Hodge class would require an exogenous 'non-algebraicity' index not derivable from level-k tests, forbidden by M1) is entirely absent. Core forcing dropped.",,
golden-BOOK-V-MATHEMATICS-0473,golden,BOOK-V-MATHEMATICS,BRIDGE,[BRIDGE 28.B],BRIDGE 28.B: classical infinite-dim Hodge forms/limits replaced by kappa-stable constructive types + distinguishability tests,no,,integrate,BOOK_02.28,peripheral,Bridge from classical infinite-dimensional Hodge theory to finite constructive types is absent from v14.,,
golden-BOOK-V-MATHEMATICS-0474,golden,BOOK-V-MATHEMATICS,SECTION,D0 §29 — Riemann (линия 1/2 как симметрия спектральной упаковки),D0 §29 header: Riemann Hypothesis (line 1/2 as symmetry of spectral packaging); dependency list,,,skip,,peripheral,non-conceptual (nav/registry): section header + fixed-dependency list,,
golden-BOOK-V-MATHEMATICS-0475,golden,BOOK-V-MATHEMATICS,DEF,[DEF 29.0.1] (ζ как спектральная упаковка).,DEF 29.0.1: only admissible zeta = spectral packaging of finite operators via heat-trace H(u)=Tr(e^{-uL}) and zeta_D(s)=Tr(|D|^{-s}),no,,integrate,BOOK_02.29,supporting,Heat-trace and spectral zeta primitives exist in v14 (time/spectrum books) but the restriction 'only zeta functions arising as spectral packaging of finite operators are admissible' (RH setup) is absent.,,
golden-BOOK-V-MATHEMATICS-0476,golden,BOOK-V-MATHEMATICS,DEF,[DEF 29.0.2] (Корректность постановки RH в D0).,DEF 29.0.2: well-posed RH in D0 = canonical symmetry of spectral packaging with no external knobs (axis shift / arbitrary normalization),no,,integrate,BOOK_02.29,supporting,D0 well-posedness statement of RH (no external axis-shift/normalization parameters) is absent from v14.,,
golden-BOOK-V-MATHEMATICS-0477,golden,BOOK-V-MATHEMATICS,THE,[THE 29.1.1] (D0-версия “критической линии”).,"THE 29.1.1: unique admissible symmetry axis of zeros is Re(s)=1/2; proof by M1 (axis shift delta is an exogenous knob, forbidden)",no,,integrate,BOOK_02.29,core-forcing,"Theorem + M1 forcing argument (shifting Re(s)=1/2 needs a dimensionless delta not derivable from the spectrum, so M1 forbids it) is entirely absent from v14. Core forcing dropped.",,
golden-BOOK-V-MATHEMATICS-0478,golden,BOOK-V-MATHEMATICS,BRIDGE,[BRIDGE 29.B],"BRIDGE 29.B: classical Riemann zeta is a special case of spectral packaging; critical line is a consequence of canonical symmetry, not an independent hypothesis",no,,integrate,BOOK_02.29,peripheral,Bridge recasting classical RH as a special case of canonical spectral-packaging symmetry is absent from v14.,,
golden-BOOK-V-MATHEMATICS-0479,golden,BOOK-V-MATHEMATICS,SECTION,D0 §30 — Birch–Swinnerton-Dyer (BSD) (ранг как κ-стабильная нульность; L-функция как спектральная упаковка),D0 §30 header: BSD (rank as kappa-stable nullity; L-function as spectral packaging); dependency list,,,skip,,peripheral,non-conceptual (nav/registry): section header + fixed-dependency list,,
golden-BOOK-V-MATHEMATICS-0480,golden,BOOK-V-MATHEMATICS,DEF,[DEF 30.0.1] (Эллиптическая кривая как конструктивный тип).,DEF 30.0.1: elliptic curve E = finite constructive type of coeffs/rules + inverse system; infinite sums only as kappa-stable packagings,no,,integrate,BOOK_02.30,supporting,BSD/elliptic-curve material is entirely absent from v14 (grep for BSD/elliptic/Birch/Swinnerton returns nothing).,,
golden-BOOK-V-MATHEMATICS-0481,golden,BOOK-V-MATHEMATICS,DEF,[DEF 30.0.2] (Ранг как κ-стабильная нульность).,DEF 30.0.2: D0-rank(E) = kappa-stable nullity of the canonical distinguishability/Laplacian operator (rank-nullity analog of the scene),no,,integrate,BOOK_02.30,supporting,"v14 uses rank/nullity for the K(9,11,13) scene but NOT rank-as-kappa-stable-nullity for elliptic curves / BSD. Definition absent.",,
golden-BOOK-V-MATHEMATICS-0482,golden,BOOK-V-MATHEMATICS,DEF,[DEF 30.0.3] (L-функция как спектральная упаковка).,"DEF 30.0.3: L(E,s) = bridge packaging of heat-trace/zeta spectral data of an operator attached to E (same packaging as §29)",no,,integrate,BOOK_02.30,supporting,L-function-as-spectral-packaging definition is absent from v14.,,
golden-BOOK-V-MATHEMATICS-0483,golden,BOOK-V-MATHEMATICS,THE,[THE 30.1.1] (BSD в D0: аналитическое = топологическое как один κ-инвариант).,"THE 30.1.1: ord L(E,s) = rank_D0(E) (analytic=topological as one kappa-invariant); proof by 'one invariant -> two passports' under M1",no,,integrate,BOOK_02.30,core-forcing,"Theorem + M1 forcing argument (divergence of order-of-zero and rank would need exogenous hidden data, forbidden by M1, so both passports must coincide) is entirely absent. Core forcing dropped.",,
golden-BOOK-V-MATHEMATICS-0484,golden,BOOK-V-MATHEMATICS,BRIDGE,[BRIDGE 30.B],BRIDGE 30.B: classical Tamagawa/Sha factors = bridge decomposition of one kappa-invariant into table factors that cannot be independent knobs,no,,integrate,BOOK_02.30,peripheral,Bridge treating Tamagawa/Sha as a forced decomposition of a single kappa-invariant (no independent knobs without violating M1) is absent from v14.,,
golden-BOOK-V-MATHEMATICS-0485,golden,BOOK-V-MATHEMATICS,VER,[VER V.4.R] (Реестр верификации задач §24–§30).,"VER V.4.R: verification registry for §24-§30 (P vs NP, Poincare, Yang-Mills, NS, Hodge, Riemann, BSD cert/VER-min mapping)",,,skip,,peripheral,non-conceptual (nav/registry): registry mapping each Millennium problem to cert files / VER-min PASS-FAIL hooks.,,
golden-BOOK-V-MATHEMATICS-0486,golden,BOOK-V-MATHEMATICS,SECTION,CHAPTER V.5 — Clay как публичная рамка (юридико-логическая фиксация),CHAPTER V.5 header: Clay as a public legal-logical frame,,,skip,,peripheral,non-conceptual (nav/registry): chapter title only,,
golden-BOOK-V-MATHEMATICS-0487,golden,BOOK-V-MATHEMATICS,REM,[REM 31.0.1] (Статус Clay-постановок).,REM 31.0.1: Clay statements are an incomplete frame; M1 defines well-posedness and any reformulation requiring an external catalog is unique (THE 23.0.2),no,,integrate,BOOK_02.31,supporting,The meta-claim that Clay-style actual-infinity formulations are incomplete frames re-posed (uniquely) under M1 is absent from v14; uniqueness-of-reformulation (THE 23.0.2) not carried.,,
golden-BOOK-V-MATHEMATICS-0488,golden,BOOK-V-MATHEMATICS,VER,[VER 31.0.2] (Что именно “закрыто” этой книгой).,"VER 31.0.2: closure summary - M1 inevitability (THE 20.1.1), realizable ZFC fragment interpreted in D0 (THE 22.1.1), D0 solutions to THE 24-30",,,skip,,peripheral,non-conceptual (nav/registry): closure-of-book summary listing what the book delivered.,,
golden-BOOK-V-MATHEMATICS-0489,golden,BOOK-V-MATHEMATICS,CHK,[CHK 31.0.3] (Безопасность от “подмен”).,"CHK 31.0.3: after fixing the book, no new axioms, no new dimensionless parameters, no changing THE 24-30 without a new corpus version",partial,BOOK_05 §05.9 negative controls / no-hidden-anchor; BOOK_02.18 rigidity calculus,integrate,BOOK_05.9,supporting,"v14 strongly enforces 'no new dimensionless parameter / no hidden anchor' generally, but the explicit version-locking discipline (no edits to fixed theorems without declaring a new corpus version) is not stated in this form.",,
golden-BOOK-V-MATHEMATICS-0490,golden,BOOK-V-MATHEMATICS,CHK,[CHK 31.0.4] (Фальсификация: инвариантность PASS/FAIL и допустимые входы).,CHK 31.0.4: falsification - PASS/FAIL must be invariant under class-A/B admissible inputs within epsilon^2; otherwise the VER is refuted,partial,BOOK_05 §05.15 falsification matrix; BOOK_05 §05.9 negative controls,integrate,BOOK_05.15,supporting,"v14 has a general falsification matrix + negative controls, but the concrete rule 'PASS/FAIL invariant under class-A/B admissible inputs within epsilon^2, else refuted' and the class-A/B input taxonomy (BOOK IV VER 19.4.3) are not present in this explicit form.",,
golden-BOOK-VI-EXTENSIONS-0491,golden,BOOK-VI-EXTENSIONS,SECTION,# D0 — ЕДИНЫЙ КОРПУС ТЕОРИИ РАЗЛИЧИМОСТИ,Corpus title banner (D0 unified theory of distinguishability),,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-VI-EXTENSIONS-0492,golden,BOOK-VI-EXTENSIONS,SECTION,## BOOK VI — EXTENSIONS,BOOK VI — EXTENSIONS title header,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-VI-EXTENSIONS-0493,golden,BOOK-VI-EXTENSIONS,SECTION,### RECURSION · RESONANCE · METROLOGICAL STANDARD (CORE→BRIDGE; проверки согласованности вынесены в BOOK IV),"Logical-route overview (J,Y,∂ -> δ-recursion -> resonance -> 10 dynamics theorems)",,,skip,,peripheral,non-conceptual (nav/route map),,
golden-BOOK-VI-EXTENSIONS-0494,golden,BOOK-VI-EXTENSIONS,SECTION,### Содержание,Table of contents for BOOK VI chapters VI.0–VI.13,,,skip,,peripheral,non-conceptual (nav/TOC),,
golden-BOOK-VI-EXTENSIONS-0495,golden,BOOK-VI-EXTENSIONS,SECTION,### Нотация тома VI (важно),"Notation registry for BOOK VI (J,Y,∂ vs reserved P,C symbols)",,,skip,,peripheral,non-conceptual (notation registry),,
golden-BOOK-VI-EXTENSIONS-0496,golden,BOOK-VI-EXTENSIONS,SECTION,## CHAPTER VI.0 — КОНТРАКТ И ПРАВИЛА ИМПОРТА,Chapter VI.0 header — contract and import rules,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-VI-EXTENSIONS-0497,golden,BOOK-VI-EXTENSIONS,SECTION,### D0 §50 — Методологические ограничения тома VI,D0 §50 header — methodological constraints of BOOK VI,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-VI-EXTENSIONS-0498,golden,BOOK-VI-EXTENSIONS,DEF,[DEF 50.1] (Канонический аксиоматический базис / Canonical Axiomatic Basis).,"DEF 50.1 Canonical Axiomatic Basis: φ,ψ,δ0,ε²=φ^-16,ξ5=φ^-5,Δα,Rank3/Nullity30 all fixed by BOOK I–V",partial,"BOOK_01 §(graph birth, |V|=33 rank3 nullity30); BOOK_02 §; BOOK_03 §03.18",integrate,BOOK_00.admissibility,supporting,"Most constants exist in v14 (δ0, Rank3/Nullity30, φ^5). But ε²=φ^-16 and Δα (gluing-anomaly) are NOT in v14; the explicit 'BOOK VI imports nothing new, all canonically fixed' background-independence contract is not stated as such.",,
golden-BOOK-VI-EXTENSIONS-0499,golden,BOOK-VI-EXTENSIONS,DEF,[DEF 50.2] (Фоновая и схемная независимость / background & scheme independence).,DEF 50.2 Background & scheme independence: new scale admissible only if computed from canonical basis or appears as protocol parameter,partial,BOOK_00 §(admissibility/no free knobs); BOOK_08 §08.20 (no tuning H0/rd/Omega_m),integrate,BOOK_00.admissibility,supporting,"v14 enforces no-free-knob/no-hidden-scale discipline operationally per-book, but the explicit 'either vanishes at CORE or appears as conditionally-theorem BRIDGE protocol parameter' classification rule is not stated as a general law.",,
golden-BOOK-VI-EXTENSIONS-0500,golden,BOOK-VI-EXTENSIONS,REM,[REM 50.2.R] (Методологическая цель).,"REM 50.2.R Background-independence goal: external scales only inside protocol Π, fixes minimality / excludes hidden parameters",partial,BOOK_00 §admissibility; BOOK_08 §empirical-passport guardrails,integrate,BOOK_00.admissibility,supporting,Minimality / no-hidden-parameter intent is present in v14's admissibility discipline but not as an explicit background-independence statement.,,
